Medicine Name,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,Condition,Content,Substitute,Drug Class,InteractionEffect,NotRecommendedFor,InteractsWith0,InteractsWith1,InteractsWith2
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"Lexapro (escitalopram)""Delighted. Years of severe anxiety and depression resulting from Post Traumatic Stress Disorder, culminating in total debilitation. Unable to work for 12 months and social withdrawal. Started on 5 mg...then up to 10 mg....on 15 mg now and in a week up to 20mg. Apart from sleep still evading me and quite profound sleepiness for the first few days, Lexapro is a Godsend. The fog is clearing, anxiety almost non existent...yay! Still slightly unmotivated but getting better every day! Works for me!""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I have been on Zoloft (sertraline) for a little over a year. It has made a huge difference in my quality of life - I no longer have constant anxiety or am paralyzed by inability to make a decision. I was afraid that it would make me feel like a zombie or feel emotionless, but instead I just feel much more in control and able to move on from things like a normal person. 
I was worried about weight gain on this, but my doc combined it with Wellbutrin to help with my depression and offset the Zoloft side effects, and it turned out to be a perfect combo!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Obsessive Compulsive Disorder,"Zoloft (sertraline)""I’ve dealt with anxiety since I was 22 (now 28). At the start of this year my anxiety got bad. At my lowest I decided to make an appointment to see a doctor. I was sobbing after I got off the phone to book the appointment because I felt my anxiety had defeated me. Little did I know that I was finally choosing to take control. I was prescribed 50mg of Zoloft 4/1/19 and have stayed there. The beginning was rough. I felt jittery, nauseous, and “weird”. It took a month before I started to notice a difference. My generalized anxiety started to fade and it felt amazing! Intrusive thoughts began to settle down too!  I was sleeping better, handling stress better, I could socialize better, overall I had a lot more confidence. I take my pill at the same time everyday. I can’t believe how much better I feel today, it can bring me tears. I needed to feel better to see how bad I was. Please don’t be afraid to try it. Give it time! Don’t judge it after 2 or even 3 weeks. Be patient and allow it to work.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I was very very bad at one point with my anxieyy and depression and the OCD, they were all working together against me, the horrible disgusting thoughts from the OCD was driving me into constant panic attacks and anxiety through the roof! Which drove me to stay in doors and avoid triggers which then pushed me into a deep deep depression, I've been on zoloft now for about 6 months on a low dose of of 50mg, and I feel much better! I was able to go out and get a job which I am excelling at and got three raises in 4 months! I have felt a bit of the anxiety and ocd poking out once in a while but I may need to raise the dose but over all this med had changed my life so far, if you are in a rut and are down don't give up you can regain your life back!""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""I have been on 50mg of Zoloft for a little over 3 weeks now. For the first week I noticed no change then gradually I was feeling better. It has given me more energy and i feel I have a more positive attitude. I was overeating a lot due to stress and depression that has completely subsided. Since I started taking it I have lost 19 pounds. That has also really helped with my depression. I am scared of my body getting used to it and go back to my regular habits. As for now I am happy.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Irritable Bowel SyndromeOff-label,"""Ever since I entered puberty I started having issues with my stomach. I would have severe morning sickness to the point of going into school late. Anything that made me nervous or excited like exams or vacations meant I was going to be sick or unable to eat. I was constantly aware of where the bathroom was no matter where I was. I didn’t go out with friends much. Then I started taking lexapro. It has changed everything. I finally feel like a normal human being. I can eat breakfast again. I can go out with friends. I still get nervous but it doesn’t shut down my life anymore. Thank god for this drug.""",,Antidepressant,Increased drowsiness,Kidney Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Social Anxiety Disorder,"Zoloft (sertraline)""33 y/o female, 5'5, 125lbs, 200mg/day, 1 1/2 years and will continue indefinitely. 

Pros: social anxiety gone. Unbelievable. Able to start spontaneous conversations with ""strangers"", now able to develop and share deep, intimate friendships. Not hyper self conscious anymore. I joke around and enjoy making people laugh. Sexually uninhibited (with my husband)- seriously, the best sex I've ever had, I'm not self conscious at all anymore and I have no problems with orgasm- actually the opposite (best. ever.) Weight loss, 25-30lbs, and I feel light, energetic and happy with my body now. Food! I used to be a horribly picky eater my entire life, now I try new foods without a second thought and enjoy them! Zoloft has changed my life.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Pregnancy,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"Zoloft (sertraline)""I started having panic attacks and anxiety coupled with mild depression.  I have been on Zoloft for 10 years and have always taken 50mg.  It has literally saved my life. I had gotten to the point I could not leave my house and had run out of stores and restaurants on several occassions.  I use to snap at my kids but the medication leveled out my moods and cured my panic attacks and had worked very well for me. I recommend it highly.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Kidney Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Depression,"""I've had life long crippling anxiety, my doctor first recommended escitalopram to treat my GAD after several hospitalizations from panic attacks. I was really hesitant but it's been the best decision ever. I feel normal for the first time in my life. The first few weeks were a little rough because it made me extremely tired and drowsy, but I was just relieved not to feel anxious. It's been a lifesaver. I can leave my house, I can eat, I can sleep, I can go out with friends & I haven't had a panic attack in months. I have gained about 15 lbs but that's the only negative I've noticed.""",,Antidepressant,Increased drowsiness,Liver Disease,Sertraline,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Depression,"Zoloft (sertraline)""On 50mg for 4 weeks then increased to 100mg for depression, panic attacks and obsessional thinking. I had few side effects, a slight hand tremor, yawning and difficulty sleeping. The only thing that lingered was the insomnia, but now that has settled down and I sleep okay. I feel so much better, panic attacks gone, obsessive compulsive disorder gone and my mood is lifting daily. I am enjoying life again and this medicine has been so right for me.""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Hypertension,Escitalopram,,
Sertraline,Nausea,Diarrhea,Insomnia,Dizziness,Dry mouth,Anxiety and StressOff-label,"""I am  coming up to my  7th week of taking Sertraline 50gm was feeling panic and fear, butterflies in the stomach, also had bad neck pain and headaches taking the Sertraline has eased the head and neck pain. but still have panic and stress attacks. Been back to Doctors who is upping my dose to 100mg not sure if this tablet is helping had all the side affects but can cope with them. I am not giving up just yet. I have never suffered with blood pressure but it had increased mostly up 155/60 so doctor has put my on tablets now it is 110/65 hoping the increase to 100mg is going to help""","Fluoxetine, Escitalopram",Antidepressant,Increased drowsiness,Heart Disease,Escitalopram,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Generalized Anxiety Disorder,"Lexapro (escitalopram)""Great medication to relieve anxiety. Sex drive went down first two weeks. Go a bit worried, but body adjusted. Occasional dream of gruesome things. Usually what I see on the news or discuss with family. Can't tell whether or not it's due to Lexapro.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
Escitalopram,Nausea,Insomnia,Fatigue,Dry mouth,Dizziness,Obsessive Compulsive DisorderOff-label,"""I have OCD, GAD, PTSD and depression, agoraphobia, panic attacks. It is helping. Early side effects were hard, nausea, insomnia and some higher anxiety. Take it in the am if you get insomnia ! This helped me. I'm glad I pushed through the early side effects. It took over 7 weeks to start to feel better, so don't give up unless SEs are too bad. Some posts say it's a miracle cure. It's not, you still have to do the work: therapy, diet, self-help etc, but it can help with the fear and racing thoughts. It's helping me but if I'd believed all the big claims here I'd be disappointed.Keep your expectations realistic, give it time, and do everything else you can to be healthy. It's an aid, not a cure, but can help.""",,Antidepressant,Increased drowsiness,Heart Disease,Sertraline,,
